applicant_country,visa_type,age,education_level,employment_status,sponsor_company,visa_status,processing_time
3,0,34.0,2,1,5,1,66.0
1,4,34.0,1,1,4,2,44.0
1,4,45.0,2,0,2,1,66.0
1,2,34.0,3,1,1,0,21.0
1,1,45.0,3,0,3,0,76.0
1,0,32.0,2,0,3,0,82.0
5,4,34.0,2,1,2,2,90.0
4,0,31.0,1,1,5,2,79.0
1,2,21.0,3,1,4,0,111.0
5,2,26.0,2,1,5,2,86.0
2,1,22.0,3,2,3,2,50.0
0,2,34.0,0,1,4,1,66.0
3,3,43.0,2,0,4,2,42.0
5,4,20.0,3,2,2,2,78.0
4,1,34.0,3,1,1,0,27.0
2,0,34.0,3,1,4,2,63.0
1,4,34.0,3,0,2,2,65.0
0,2,34.0,3,2,2,0,115.0
1,4,31.0,2,2,5,0,78.0
3,2,29.0,0,0,2,2,85.0
5,2,34.0,1,0,4,1,66.0
2,3,34.0,1,1,5,0,56.0
5,3,39.0,3,1,1,0,86.0
2,4,34.0,0,0,1,1,66.0
0,2,21.0,3,0,4,2,85.0
5,4,45.0,2,1,5,2,112.0
3,2,27.0,3,0,5,1,66.0
1,3,34.0,3,2,3,0,77.0
0,2,34.0,2,0,2,1,66.0
0,1,34.0,3,0,2,2,18.0
3,4,36.0,0,0,0,1,66.0
2,1,29.0,2,1,5,2,70.0
4,3,34.0,0,1,0,2,89.0
0,4,34.0,3,2,4,0,43.0
5,1,34.0,3,2,2,0,117.0
5,3,34.0,1,2,3,1,66.0
3,1,35.0,0,0,2,1,66.0
0,1,28.0,1,0,5,0,118.0
5,0,34.0,3,0,4,2,105.0
2,4,34.0,2,0,5,1,66.0
4,1,26.0,1,0,2,0,66.0
3,2,34.0,1,1,3,0,18.0
3,3,34.0,0,2,2,0,104.0
4,2,44.0,0,1,2,0,89.0
4,0,34.0,0,0,1,2,55.0
3,2,34.0,3,2,2,1,66.0
5,1,42.0,3,0,0,1,66.0
1,4,43.0,1,1,2,2,35.0
5,4,34.0,1,2,0,2,50.0
3,4,34.0,0,2,5,1,66.0
0,4,34.0,3,0,2,2,95.0
1,3,27.0,1,1,0,2,88.0
3,3,45.0,0,1,2,1,66.0
4,0,34.0,2,1,1,1,66.0
5,3,34.0,3,1,4,0,116.0
2,2,34.0,0,2,2,0,18.0
4,1,34.0,2,1,2,1,66.0
5,1,34.0,2,0,4,0,73.0
3,3,43.0,0,1,3,0,26.0
0,4,34.0,1,1,4,2,92.0
1,1,39.0,1,2,1,1,66.0
1,2,34.0,3,1,4,0,85.0
1,2,34.0,1,1,4,1,66.0
0,3,34.0,1,1,4,0,69.0
1,1,34.0,2,2,1,0,118.0
0,2,44.0,1,1,1,0,106.0
4,4,34.0,2,2,3,2,19.0
0,3,35.0,0,0,2,1,66.0
1,1,35.0,3,0,1,1,66.0
3,1,29.0,2,0,2,0,66.0
4,4,40.0,3,0,3,2,88.0
0,4,29.0,0,1,4,0,115.0
2,4,37.0,3,1,0,0,32.0
4,0,34.0,3,0,2,0,88.0
0,4,21.0,1,0,3,2,19.0
2,0,34.0,0,1,2,0,95.0
