application_id,applicant_country,visa_type,application_date,decision_date,age,education_level,employment_status,sponsor_company,visa_status,application_month,application_year,quarter,season,processing_time,country_avg_time,monthly_application_count,country_month_count
V0028,USA,F1,2023-06-22,,,Masters,Unemployed,Wipro,Pending,6,2023,2,Monsoon,,75.57142857142857,19,4
V0029,Australia,H1B,2023-10-06,2023-12-05,,Diploma,Employed,Accenture,Approved,10,2023,4,Autumn,60.0,64.89655172413794,13,2
V0030,Germany,F1,2023-06-04,,,PhD,Student,,Pending,6,2023,2,Monsoon,,68.24,19,4
V0031,India,H1B,2023-02-13,2023-04-13,,,Student,Google,Rejected,2,2023,1,Winter,59.0,52.421052631578945,22,3
V0032,India,PR,2023-09-29,,,Masters,Employed,Infosys,Pending,9,2023,3,Autumn,,52.421052631578945,24,6
V0033,Germany,H1B,2023-06-28,2023-08-26,35.0,Diploma,Student,,Rejected,6,2023,2,Monsoon,59.0,68.24,19,4
V0034,India,PR,2023-09-03,2023-09-24,,Masters,,Microsoft,Approved,9,2023,3,Autumn,21.0,52.421052631578945,24,6
V0035,Canada,F1,2023-07-04,2023-10-02,,Masters,Unemployed,Google,Approved,7,2023,3,Monsoon,90.0,65.66666666666667,18,5
V0036,Germany,PR,2023-09-05,,,Diploma,Student,Infosys,Pending,9,2023,3,Autumn,,68.24,24,3
V0037,UK,PR,2023-11-27,2024-02-26,,Diploma,Unemployed,,Approved,11,2023,4,Autumn,91.0,63.95652173913044,12,3
V0038,Germany,F1,2023-01-25,2023-03-25,21.0,Diploma,Employed,Wipro,Approved,1,2023,1,Winter,59.0,68.24,22,5
V0039,USA,H1B,2023-01-25,,,Masters,Unemployed,Infosys,Pending,1,2023,1,Winter,,75.57142857142857,22,4
V0040,Canada,L1,2023-05-09,2023-08-16,,Masters,Employed,Google,Approved,5,2023,2,Summer,99.0,65.66666666666667,19,2
V0041,Germany,F1,2023-02-04,,,Masters,Unemployed,Microsoft,Pending,2,2023,1,Winter,,68.24,22,5
V0042,Germany,PR,2023-07-02,2023-10-21,,Diploma,Student,Infosys,Rejected,7,2023,3,Monsoon,111.0,68.24,18,1
V0043,Canada,F1,2023-09-26,2023-10-12,,PhD,Student,Accenture,Rejected,9,2023,3,Autumn,16.0,65.66666666666667,24,4
V0044,Australia,PR,2023-12-14,2024-02-20,,Masters,Unemployed,Infosys,Rejected,12,2023,4,Winter,68.0,64.89655172413794,12,3
V0045,Germany,B2,2023-09-06,2023-10-03,39.0,Bachelors,Employed,Accenture,Approved,9,2023,3,Autumn,27.0,68.24,24,3
V0046,UK,H1B,2023-03-31,,22.0,,Employed,Wipro,Pending,3,2023,1,Summer,,63.95652173913044,18,3
V0047,Australia,B2,2023-05-05,2023-06-03,30.0,Bachelors,Unemployed,TCS,Rejected,5,2023,2,Summer,29.0,64.89655172413794,19,5
V0048,India,H1B,2023-01-03,2023-04-02,,Diploma,Unemployed,Infosys,Approved,1,2023,1,Winter,89.0,52.421052631578945,22,2
V0049,Canada,L1,2023-10-19,2023-11-15,29.0,PhD,Student,TCS,Rejected,10,2023,4,Autumn,27.0,65.66666666666667,13,6
V0050,Germany,PR,2023-01-02,2023-04-29,44.0,Diploma,Student,TCS,Approved,1,2023,1,Winter,117.0,68.24,22,5
V0051,Canada,L1,2023-05-07,,32.0,Bachelors,Employed,TCS,Pending,5,2023,2,Summer,,65.66666666666667,19,2
V0052,Australia,H1B,2023-09-10,2024-01-01,,PhD,Unemployed,Accenture,Rejected,9,2023,3,Autumn,113.0,64.89655172413794,24,2
V0053,Germany,L1,2023-08-27,2023-10-20,,PhD,Employed,Accenture,Rejected,8,2023,3,Monsoon,54.0,68.24,10,1
V0054,UK,PR,2023-02-12,2023-03-21,36.0,Masters,Student,Microsoft,Approved,2,2023,1,Winter,37.0,63.95652173913044,22,3
V0055,Germany,F1,2023-04-03,2023-05-15,,Diploma,Student,,Approved,4,2023,2,Summer,42.0,68.24,11,4
V0056,India,B2,2023-06-11,,45.0,PhD,Unemployed,TCS,Pending,6,2023,2,Monsoon,,52.421052631578945,19,3
V0057,UK,F1,2023-09-07,,25.0,Bachelors,Employed,,Pending,9,2023,3,Autumn,,63.95652173913044,24,5
V0058,USA,H1B,2023-06-05,,43.0,Diploma,Employed,Infosys,Pending,6,2023,2,Monsoon,,75.57142857142857,19,4
V0059,Canada,L1,2023-09-25,2024-01-12,,Bachelors,Employed,Accenture,Approved,9,2023,3,Autumn,109.0,65.66666666666667,24,4
V0060,Germany,L1,2023-04-24,2023-06-30,45.0,Diploma,Unemployed,TCS,Rejected,4,2023,2,Summer,67.0,68.24,11,4
V0061,Australia,H1B,2023-12-29,2024-02-02,40.0,Masters,Student,Microsoft,Rejected,12,2023,4,Winter,35.0,64.89655172413794,12,3
V0062,India,L1,2023-01-17,2023-02-13,,Bachelors,Unemployed,Microsoft,Approved,1,2023,1,Winter,27.0,52.421052631578945,22,2
V0063,Australia,L1,2023-05-20,2023-07-10,36.0,Bachelors,Unemployed,Google,Approved,5,2023,2,Summer,51.0,64.89655172413794,19,5
V0064,USA,PR,2023-11-24,2024-01-23,33.0,Diploma,Unemployed,Infosys,Approved,11,2023,4,Autumn,60.0,75.57142857142857,12,3
V0065,Australia,F1,2023-01-18,2023-03-27,,Masters,Unemployed,Wipro,Rejected,1,2023,1,Winter,68.0,64.89655172413794,22,4
V0066,India,B2,2023-10-25,2023-11-12,,Diploma,,Infosys,Approved,10,2023,4,Autumn,18.0,52.421052631578945,13,3
V0067,India,B2,2023-11-03,2023-11-26,41.0,Bachelors,Unemployed,Infosys,Approved,11,2023,4,Autumn,23.0,52.421052631578945,12,3
V0068,Germany,H1B,2023-02-08,2023-03-15,,Masters,Student,Google,Rejected,2,2023,1,Winter,35.0,68.24,22,5
V0069,Australia,F1,2023-01-07,2023-03-05,23.0,Masters,Student,Infosys,Rejected,1,2023,1,Winter,57.0,64.89655172413794,22,4
V0070,Canada,H1B,2023-06-08,2023-07-23,,,Student,Infosys,Rejected,6,2023,2,Monsoon,45.0,65.66666666666667,19,3
V0071,UK,F1,2023-09-21,2023-12-31,27.0,Bachelors,Employed,TCS,Approved,9,2023,3,Autumn,101.0,63.95652173913044,24,5
V0072,UK,PR,2023-08-22,,,PhD,Student,TCS,Pending,8,2023,3,Monsoon,,63.95652173913044,10,3
V0073,USA,L1,2023-03-28,,,PhD,Employed,,Pending,3,2023,1,Summer,,75.57142857142857,18,5
V0074,UK,B2,2023-09-03,2023-10-27,26.0,Masters,Student,Accenture,Rejected,9,2023,3,Autumn,54.0,63.95652173913044,24,5
V0075,Australia,H1B,2023-05-01,2023-05-16,25.0,Masters,Employed,Wipro,Approved,5,2023,2,Summer,15.0,64.89655172413794,19,5
V0076,Australia,B2,2023-01-29,,31.0,Diploma,Unemployed,Wipro,Pending,1,2023,1,Winter,,64.89655172413794,22,4
V0077,UK,PR,2023-07-06,,43.0,Masters,,Microsoft,Pending,7,2023,3,Monsoon,,63.95652173913044,18,2
V0078,USA,F1,2023-05-26,2023-06-14,,PhD,Student,Google,Approved,5,2023,2,Summer,19.0,75.57142857142857,19,3
V0079,Canada,H1B,2023-10-26,2024-01-01,35.0,Bachelors,Student,TCS,Approved,10,2023,4,Autumn,67.0,65.66666666666667,13,6
V0080,Canada,PR,2023-07-02,2023-07-17,,Diploma,Unemployed,Infosys,Rejected,7,2023,3,Monsoon,15.0,65.66666666666667,18,5
V0081,Germany,F1,2023-05-13,2023-09-02,,PhD,Employed,Microsoft,Rejected,5,2023,2,Summer,112.0,68.24,19,3
V0082,Germany,H1B,2023-11-08,2024-02-03,23.0,Diploma,Unemployed,,Approved,11,2023,4,Autumn,87.0,68.24,12,3
V0083,Germany,B2,2023-11-16,2023-12-09,,Diploma,Student,TCS,Approved,11,2023,4,Autumn,23.0,68.24,12,3
V0084,USA,H1B,2023-05-31,2023-07-01,,Bachelors,Unemployed,Wipro,Rejected,5,2023,2,Summer,31.0,75.57142857142857,19,3
V0085,UK,B2,2023-06-20,2023-07-16,32.0,Diploma,Employed,TCS,Rejected,6,2023,2,Monsoon,26.0,63.95652173913044,19,2
V0086,UK,B2,2023-01-14,2023-03-07,,Masters,Student,Wipro,Approved,1,2023,1,Winter,52.0,63.95652173913044,22,3
V0087,USA,H1B,2023-05-29,2023-09-11,23.0,PhD,Employed,Microsoft,Approved,5,2023,2,Summer,105.0,75.57142857142857,19,3
V0088,India,F1,2023-07-26,2023-10-24,,PhD,Student,Microsoft,Rejected,7,2023,3,Monsoon,90.0,52.421052631578945,18,3
V0089,USA,H1B,2023-04-21,,,PhD,,Infosys,Pending,4,2023,2,Summer,,75.57142857142857,11,2
V0090,Australia,L1,2023-03-11,2023-04-09,31.0,Bachelors,Student,Infosys,Rejected,3,2023,1,Summer,29.0,64.89655172413794,18,4
V0091,USA,H1B,2023-03-02,,,Bachelors,Student,Accenture,Pending,3,2023,1,Summer,,75.57142857142857,18,5
V0092,Germany,B2,2023-05-09,2023-06-29,,PhD,Employed,,Approved,5,2023,2,Summer,51.0,68.24,19,3
V0093,Canada,B2,2023-09-25,,31.0,PhD,Unemployed,,Pending,9,2023,3,Autumn,,65.66666666666667,24,4
V0094,Canada,PR,2023-10-27,,,Bachelors,Student,Wipro,Pending,10,2023,4,Autumn,,65.66666666666667,13,6
V0095,India,B2,2023-07-06,2023-09-25,,PhD,Employed,Google,Approved,7,2023,3,Monsoon,81.0,52.421052631578945,18,3
V0096,Germany,L1,2023-05-29,2023-09-14,,,Student,Infosys,Approved,5,2023,2,Summer,108.0,68.24,19,3
V0097,Germany,B2,2023-01-19,,,Bachelors,Student,Wipro,Pending,1,2023,1,Winter,,68.24,22,5
V0098,UK,PR,2023-11-15,2024-02-25,29.0,Bachelors,Student,Wipro,Approved,11,2023,4,Autumn,102.0,63.95652173913044,12,3
V0099,Australia,L1,2023-06-09,,41.0,Diploma,Employed,Google,Pending,6,2023,2,Monsoon,,64.89655172413794,19,3
V0100,Canada,H1B,2023-10-02,2023-12-23,21.0,Masters,Employed,,Approved,10,2023,4,Autumn,82.0,65.66666666666667,13,6
V0101,India,B2,2023-03-25,2023-05-29,,Diploma,Student,Microsoft,Rejected,3,2023,1,Summer,65.0,52.421052631578945,18,2
V0102,USA,F1,2023-01-13,2023-04-28,34.0,Bachelors,Unemployed,Accenture,Approved,1,2023,1,Winter,105.0,75.57142857142857,22,4
V0103,Canada,H1B,2023-02-22,2023-03-22,41.0,Diploma,,Microsoft,Rejected,2,2023,1,Winter,28.0,65.66666666666667,22,5
V0104,Germany,PR,2023-10-02,2023-12-03,30.0,Diploma,Unemployed,TCS,Approved,10,2023,4,Autumn,62.0,68.24,13,2
V0105,USA,H1B,2023-02-13,,,PhD,Employed,TCS,Pending,2,2023,1,Winter,,75.57142857142857,22,2
V0106,India,PR,2023-05-03,,38.0,PhD,Student,TCS,Pending,5,2023,2,Summer,,52.421052631578945,19,3
V0107,USA,B2,2023-03-23,2023-04-27,39.0,PhD,Employed,Wipro,Approved,3,2023,1,Summer,35.0,75.57142857142857,18,5
V0108,USA,B2,2023-12-17,2024-03-02,,Masters,Employed,Accenture,Approved,12,2023,4,Winter,76.0,75.57142857142857,12,4
V0109,India,H1B,2023-05-14,2023-07-09,40.0,Masters,Unemployed,,Rejected,5,2023,2,Summer,56.0,52.421052631578945,19,3
V0110,Germany,L1,2023-03-23,2023-07-10,40.0,Bachelors,Student,Infosys,Rejected,3,2023,1,Summer,109.0,68.24,18,1
V0111,Australia,F1,2023-09-30,2023-10-15,31.0,Masters,Employed,Google,Approved,9,2023,3,Autumn,15.0,64.89655172413794,24,2
V0112,India,PR,2023-03-17,2023-06-19,41.0,Bachelors,Employed,Wipro,Approved,3,2023,1,Summer,94.0,52.421052631578945,18,2
V0113,Canada,B2,2023-01-20,2023-02-22,42.0,Diploma,Employed,Infosys,Approved,1,2023,1,Winter,33.0,65.66666666666667,22,4
V0114,UK,F1,2023-07-13,2023-09-13,,Diploma,Employed,Infosys,Approved,7,2023,3,Monsoon,62.0,63.95652173913044,18,2
V0115,USA,PR,2023-04-12,2023-05-01,,PhD,Student,Microsoft,Rejected,4,2023,2,Summer,19.0,75.57142857142857,11,2
V0116,USA,PR,2023-01-01,,,,Student,,Pending,1,2023,1,Winter,,75.57142857142857,22,4
V0117,Germany,L1,2023-01-14,,44.0,Bachelors,Unemployed,,Pending,1,2023,1,Winter,,68.24,22,5
V0118,Australia,B2,2023-07-03,2023-10-27,40.0,Bachelors,Student,Wipro,Rejected,7,2023,3,Monsoon,116.0,64.89655172413794,18,5
V0119,Australia,L1,2023-02-11,2023-05-06,26.0,Masters,Unemployed,Microsoft,Approved,2,2023,1,Winter,84.0,64.89655172413794,22,4
V0120,UK,F1,2023-04-14,,40.0,PhD,Unemployed,Microsoft,Pending,4,2023,2,Summer,,63.95652173913044,11,1
V0121,Australia,B2,2023-05-14,2023-07-01,,Diploma,Employed,Infosys,Rejected,5,2023,2,Summer,48.0,64.89655172413794,19,5
V0122,USA,B2,2023-03-26,2023-07-21,29.0,Bachelors,,Google,Approved,3,2023,1,Summer,117.0,75.57142857142857,18,5
V0123,Germany,L1,2023-04-19,2023-08-06,27.0,Bachelors,Unemployed,Wipro,Approved,4,2023,2,Summer,109.0,68.24,11,4
V0124,India,PR,2023-04-12,2023-04-27,23.0,Masters,Student,Wipro,Approved,4,2023,2,Summer,15.0,52.421052631578945,11,1
V0125,India,B2,2023-09-01,,,Masters,,Wipro,Pending,9,2023,3,Autumn,,52.421052631578945,24,6
V0126,Canada,PR,2023-01-03,2023-02-16,,Diploma,Student,TCS,Rejected,1,2023,1,Winter,44.0,65.66666666666667,22,4
V0127,Canada,PR,2023-07-13,,45.0,Masters,Employed,,Pending,7,2023,3,Monsoon,,65.66666666666667,18,5
V0128,Canada,H1B,2023-03-11,2023-04-01,,PhD,Student,Google,Approved,3,2023,1,Summer,21.0,65.66666666666667,18,3
V0129,Canada,F1,2023-03-25,2023-06-09,45.0,,Employed,Microsoft,Approved,3,2023,1,Summer,76.0,65.66666666666667,18,3
V0130,Canada,B2,2023-10-26,2024-01-16,32.0,Masters,Employed,Microsoft,Approved,10,2023,4,Autumn,82.0,65.66666666666667,13,6
V0131,USA,PR,2023-08-09,2023-11-07,,Masters,Student,,Rejected,8,2023,3,Monsoon,90.0,75.57142857142857,10,1
V0132,UK,B2,2023-06-13,2023-08-31,31.0,Diploma,Student,Wipro,Rejected,6,2023,2,Monsoon,79.0,63.95652173913044,19,2
V0133,Canada,H1B,2023-02-15,2023-06-06,21.0,PhD,Student,TCS,Approved,2,2023,1,Winter,111.0,65.66666666666667,22,5
V0134,USA,H1B,2023-12-22,2024-03-17,26.0,Masters,Student,Wipro,Rejected,12,2023,4,Winter,86.0,75.57142857142857,12,4
V0135,Germany,F1,2023-02-17,2023-04-08,22.0,PhD,Unemployed,Microsoft,Rejected,2,2023,1,Winter,50.0,68.24,22,5
V0136,Australia,H1B,2023-04-08,,,Bachelors,,TCS,Pending,4,2023,2,Summer,,64.89655172413794,11,2
V0137,India,L1,2023-11-14,2023-12-26,43.0,Masters,Employed,TCS,Rejected,11,2023,4,Autumn,42.0,52.421052631578945,12,3
V0138,USA,PR,2023-06-28,2023-09-14,20.0,PhD,Unemployed,,Rejected,6,2023,2,Monsoon,78.0,75.57142857142857,19,4
V0139,UK,F1,2023-09-07,2023-10-04,,PhD,Student,Google,Approved,9,2023,3,Autumn,27.0,63.95652173913044,24,5
V0140,Germany,B2,2023-04-21,2023-06-23,,PhD,Student,TCS,Rejected,4,2023,2,Summer,63.0,68.24,11,4
V0141,Canada,PR,2023-04-10,2023-06-14,,PhD,Employed,Infosys,Rejected,4,2023,2,Summer,65.0,65.66666666666667,11,1
V0142,Australia,H1B,2023-05-23,2023-09-15,,PhD,Unemployed,,Approved,5,2023,2,Summer,115.0,64.89655172413794,19,5
V0143,Canada,PR,2023-01-02,2023-03-21,31.0,Masters,Unemployed,Wipro,Approved,1,2023,1,Winter,78.0,65.66666666666667,22,4
V0144,India,H1B,2023-07-17,2023-10-10,29.0,Bachelors,Employed,Infosys,Rejected,7,2023,3,Monsoon,85.0,52.421052631578945,18,3
V0145,USA,H1B,2023-07-23,,,Diploma,Employed,TCS,Pending,7,2023,3,Monsoon,,75.57142857142857,18,2
V0146,Germany,L1,2023-06-26,2023-08-21,,Diploma,Student,Wipro,Approved,6,2023,2,Monsoon,56.0,68.24,19,4
V0147,USA,L1,2023-12-13,2024-03-08,39.0,PhD,Student,Google,Approved,12,2023,4,Winter,86.0,75.57142857142857,12,4
V0148,Germany,PR,2023-02-27,,,Bachelors,Employed,Google,Pending,2,2023,1,Winter,,68.24,22,5
V0149,Australia,H1B,2023-03-20,2023-06-13,21.0,PhD,Employed,TCS,Rejected,3,2023,1,Summer,85.0,64.89655172413794,18,4
V0150,USA,PR,2024-01-01,2024-04-22,45.0,Masters,Student,Wipro,Rejected,1,2024,1,Winter,112.0,75.57142857142857,22,4
V0151,India,H1B,2023-06-25,,27.0,PhD,Employed,Wipro,Pending,6,2023,2,Monsoon,,52.421052631578945,19,3
V0152,Canada,L1,2023-07-16,2023-10-01,,PhD,Unemployed,Microsoft,Approved,7,2023,3,Monsoon,77.0,65.66666666666667,18,5
V0153,Australia,H1B,2023-06-23,,,Masters,Employed,Infosys,Pending,6,2023,2,Monsoon,,64.89655172413794,19,3
V0154,Australia,F1,2023-07-07,2023-07-25,,PhD,Employed,Infosys,Rejected,7,2023,3,Monsoon,18.0,64.89655172413794,18,5
V0155,India,PR,2023-10-18,,36.0,Bachelors,Employed,Accenture,Pending,10,2023,4,Autumn,,52.421052631578945,13,3
V0156,Germany,F1,2023-02-08,2023-04-19,29.0,Masters,Student,Wipro,Rejected,2,2023,1,Winter,70.0,68.24,22,5
V0157,UK,L1,2023-02-28,2023-05-28,,Bachelors,Student,Accenture,Rejected,2,2023,1,Winter,89.0,63.95652173913044,22,3
V0158,Australia,PR,2023-06-14,2023-07-27,,PhD,Unemployed,TCS,Approved,6,2023,2,Monsoon,43.0,64.89655172413794,19,3
V0159,USA,F1,2023-09-22,2024-01-17,,,Unemployed,,Approved,9,2023,3,Autumn,117.0,75.57142857142857,24,4
V0160,USA,L1,2023-11-02,,,Diploma,Unemployed,Microsoft,Pending,11,2023,4,Autumn,,75.57142857142857,12,3
V0161,India,F1,2023-09-01,,35.0,Bachelors,Employed,,Pending,9,2023,3,Autumn,,52.421052631578945,24,6
V0162,Australia,F1,2023-10-03,2024-01-29,28.0,Diploma,Employed,Wipro,Approved,10,2023,4,Autumn,118.0,64.89655172413794,13,2
V0163,USA,B2,2023-09-18,2024-01-01,,PhD,Employed,TCS,Rejected,9,2023,3,Autumn,105.0,75.57142857142857,24,4
V0164,Germany,PR,2023-09-01,,34.0,Masters,Employed,Wipro,Pending,9,2023,3,Autumn,,68.24,24,3
V0165,UK,F1,2023-08-28,2023-11-02,26.0,Diploma,Employed,Infosys,Approved,8,2023,3,Monsoon,66.0,63.95652173913044,10,3
V0166,India,H1B,2023-05-13,2023-05-31,,Diploma,Student,Microsoft,Approved,5,2023,2,Summer,18.0,52.421052631578945,19,3
V0167,India,L1,2023-10-07,2024-01-19,,Bachelors,Unemployed,Infosys,Approved,10,2023,4,Autumn,104.0,52.421052631578945,13,3
V0168,UK,H1B,2023-05-10,2023-08-07,44.0,Bachelors,Student,,Approved,5,2023,2,Summer,89.0,63.95652173913044,19,3
V0169,UK,B2,2023-11-14,2024-01-08,,Bachelors,Employed,Google,Rejected,11,2023,4,Autumn,55.0,63.95652173913044,12,3
V0170,India,H1B,2023-11-05,,,PhD,Unemployed,Infosys,Pending,11,2023,4,Autumn,,52.421052631578945,12,3
V0171,USA,F1,2023-12-09,,42.0,,Employed,Accenture,Pending,12,2023,4,Winter,,75.57142857142857,12,4
V0172,Canada,PR,2023-08-05,2023-09-09,43.0,Diploma,Student,Infosys,Rejected,8,2023,3,Monsoon,35.0,65.66666666666667,10,4
V0173,USA,PR,2023-09-24,2023-11-13,,Diploma,Unemployed,Accenture,Rejected,9,2023,3,Autumn,50.0,75.57142857142857,24,4
V0174,India,PR,2023-06-08,,34.0,Bachelors,Unemployed,Wipro,Pending,6,2023,2,Monsoon,,52.421052631578945,19,3
V0175,Australia,PR,2023-02-24,2023-05-30,,,Employed,,Rejected,2,2023,1,Winter,95.0,64.89655172413794,22,4
V0176,Canada,L1,2023-08-24,2023-11-20,27.0,Diploma,Student,Accenture,Rejected,8,2023,3,Monsoon,88.0,65.66666666666667,10,4
V0177,India,L1,2023-12-23,,45.0,Bachelors,,Infosys,Pending,12,2023,4,Winter,,52.421052631578945,12,1
V0178,UK,B2,2023-12-29,,,Masters,Student,Google,Pending,12,2023,4,Winter,,63.95652173913044,12,2
V0179,USA,L1,2023-07-29,2023-11-22,,PhD,Student,TCS,Approved,7,2023,3,Monsoon,116.0,75.57142857142857,18,2
V0180,Germany,H1B,2023-06-15,2023-07-03,,Bachelors,Unemployed,Infosys,Approved,6,2023,2,Monsoon,18.0,68.24,19,4
V0181,UK,F1,2023-03-24,,,Masters,,,Pending,3,2023,1,Summer,,63.95652173913044,18,3
V0182,USA,F1,2023-11-17,2024-01-29,,Masters,Employed,TCS,Approved,11,2023,4,Autumn,73.0,75.57142857142857,12,3
V0183,India,L1,2023-09-16,2023-10-12,43.0,Bachelors,Student,Microsoft,Approved,9,2023,3,Autumn,26.0,52.421052631578945,24,6
V0184,Australia,PR,2023-04-14,2023-07-15,,Diploma,Student,TCS,Rejected,4,2023,2,Summer,92.0,64.89655172413794,11,2
V0185,Canada,F1,2023-08-08,,39.0,Diploma,Unemployed,Google,Pending,8,2023,3,Monsoon,,65.66666666666667,10,4
V0186,Canada,H1B,2023-09-15,2023-12-09,,PhD,Student,TCS,Approved,9,2023,3,Autumn,85.0,65.66666666666667,24,4
V0187,Canada,H1B,2023-02-03,,,Diploma,Student,TCS,Pending,2,2023,1,Winter,,65.66666666666667,22,5
V0188,Australia,L1,2023-07-14,2023-09-21,,Diploma,Student,TCS,Approved,7,2023,3,Monsoon,69.0,64.89655172413794,18,5
V0189,Canada,F1,2023-02-06,2023-06-04,,Masters,Unemployed,Google,Approved,2,2023,1,Winter,118.0,65.66666666666667,22,5
V0190,Australia,H1B,2023-03-21,2023-07-05,44.0,Diploma,Student,Google,Approved,3,2023,1,Summer,106.0,64.89655172413794,18,4
V0191,UK,PR,2023-09-26,2023-10-15,34.0,Masters,Unemployed,Microsoft,Rejected,9,2023,3,Autumn,19.0,63.95652173913044,24,5
V0192,Australia,L1,2023-07-14,,35.0,Bachelors,Employed,Infosys,Pending,7,2023,3,Monsoon,,64.89655172413794,18,5
V0193,Canada,F1,2023-03-15,,35.0,PhD,Employed,Google,Pending,3,2023,1,Summer,,65.66666666666667,18,3
V0194,India,F1,2023-09-06,2023-11-11,29.0,Masters,Employed,,Approved,9,2023,3,Autumn,66.0,52.421052631578945,24,6
V0195,UK,PR,2023-01-11,2023-04-09,40.0,PhD,Employed,Microsoft,Rejected,1,2023,1,Winter,88.0,63.95652173913044,22,3
V0196,Australia,PR,2023-01-14,2023-05-09,29.0,Bachelors,Student,TCS,Approved,1,2023,1,Winter,115.0,64.89655172413794,22,4
V0197,Germany,PR,2023-01-02,2023-02-03,37.0,PhD,Student,Accenture,Approved,1,2023,1,Winter,32.0,68.24,22,5
V0198,UK,B2,2023-01-29,2023-04-27,,PhD,Employed,,Approved,1,2023,1,Winter,88.0,63.95652173913044,22,3
V0199,Australia,PR,2023-02-13,2023-03-04,21.0,Diploma,Employed,Microsoft,Rejected,2,2023,1,Winter,19.0,64.89655172413794,22,4
V0200,Germany,B2,2023-12-11,2024-03-15,,Bachelors,Student,Infosys,Approved,12,2023,4,Winter,95.0,68.24,12,1
