application_id,applicant_country,visa_type,application_date,decision_date,age,education_level,employment_status,sponsor_company,visa_status
V0119,Australia,L1,2023-02-11,2023-05-06,26.0,Masters,Unemployed,Microsoft,Approved
V0120,UK,F1,2023-04-14,,40.0,PhD,Unemployed,Microsoft,Pending
V0121,Australia,B2,2023-05-14,2023-07-01,,Diploma,Employed,Infosys,Rejected
V0122,USA,B2,2023-03-26,2023-07-21,29.0,Bachelors,,Google,Approved
V0123,Germany,L1,2023-04-19,2023-08-06,27.0,Bachelors,Unemployed,Wipro,Approved
V0124,India,PR,2023-04-12,2023-04-27,23.0,Masters,Student,Wipro,Approved
V0125,India,B2,2023-09-01,,,Masters,,Wipro,Pending
V0126,Canada,PR,2023-01-03,2023-02-16,,Diploma,Student,TCS,Rejected
V0127,Canada,PR,2023-07-13,,45.0,Masters,Employed,,Pending
V0128,Canada,H1B,2023-03-11,2023-04-01,,PhD,Student,Google,Approved
V0129,Canada,F1,2023-03-25,2023-06-09,45.0,,Employed,Microsoft,Approved
V0130,Canada,B2,2023-10-26,2024-01-16,32.0,Masters,Employed,Microsoft,Approved
V0131,USA,PR,2023-08-09,2023-11-07,,Masters,Student,,Rejected
V0132,UK,B2,2023-06-13,2023-08-31,31.0,Diploma,Student,Wipro,Rejected
V0133,Canada,H1B,2023-02-15,2023-06-06,21.0,PhD,Student,TCS,Approved
V0134,USA,H1B,2023-12-22,2024-03-17,26.0,Masters,Student,Wipro,Rejected
V0135,Germany,F1,2023-02-17,2023-04-08,22.0,PhD,Unemployed,Microsoft,Rejected
V0136,Australia,H1B,2023-04-08,,,Bachelors,,TCS,Pending
V0137,India,L1,2023-11-14,2023-12-26,43.0,Masters,Employed,TCS,Rejected
V0138,USA,PR,2023-06-28,2023-09-14,20.0,PhD,Unemployed,,Rejected
V0139,UK,F1,2023-09-07,2023-10-04,,PhD,Student,Google,Approved
V0140,Germany,B2,2023-04-21,2023-06-23,,PhD,Student,TCS,Rejected
V0141,Canada,PR,2023-04-10,2023-06-14,,PhD,Employed,Infosys,Rejected
V0142,Australia,H1B,2023-05-23,2023-09-15,,PhD,Unemployed,,Approved
V0143,Canada,PR,2023-01-02,2023-03-21,31.0,Masters,Unemployed,Wipro,Approved
V0144,India,H1B,2023-07-17,2023-10-10,29.0,Bachelors,Employed,Infosys,Rejected
V0145,USA,H1B,2023-07-23,,,Diploma,Employed,TCS,Pending
V0146,Germany,L1,2023-06-26,2023-08-21,,Diploma,Student,Wipro,Approved
V0147,USA,L1,2023-12-13,2024-03-08,39.0,PhD,Student,Google,Approved
V0148,Germany,PR,2023-02-27,,,Bachelors,Employed,Google,Pending
V0149,Australia,H1B,2023-03-20,2023-06-13,21.0,PhD,Employed,TCS,Rejected
V0150,USA,PR,2024-01-01,2024-04-22,45.0,Masters,Student,Wipro,Rejected
V0151,India,H1B,2023-06-25,,27.0,PhD,Employed,Wipro,Pending
V0152,Canada,L1,2023-07-16,2023-10-01,,PhD,Unemployed,Microsoft,Approved
V0153,Australia,H1B,2023-06-23,,,Masters,Employed,Infosys,Pending
V0154,Australia,F1,2023-07-07,2023-07-25,,PhD,Employed,Infosys,Rejected
V0155,India,PR,2023-10-18,,36.0,Bachelors,Employed,Accenture,Pending
V0156,Germany,F1,2023-02-08,2023-04-19,29.0,Masters,Student,Wipro,Rejected
V0157,UK,L1,2023-02-28,2023-05-28,,Bachelors,Student,Accenture,Rejected
V0158,Australia,PR,2023-06-14,2023-07-27,,PhD,Unemployed,TCS,Approved
V0159,USA,F1,2023-09-22,2024-01-17,,,Unemployed,,Approved
V0160,USA,L1,2023-11-02,,,Diploma,Unemployed,Microsoft,Pending
V0161,India,F1,2023-09-01,,35.0,Bachelors,Employed,,Pending
V0162,Australia,F1,2023-10-03,2024-01-29,28.0,Diploma,Employed,Wipro,Approved
V0163,USA,B2,2023-09-18,2024-01-01,,PhD,Employed,TCS,Rejected
V0164,Germany,PR,2023-09-01,,34.0,Masters,Employed,Wipro,Pending
V0165,UK,F1,2023-08-28,2023-11-02,26.0,Diploma,Employed,Infosys,Approved
V0166,India,H1B,2023-05-13,2023-05-31,,Diploma,Student,Microsoft,Approved
V0167,India,L1,2023-10-07,2024-01-19,,Bachelors,Unemployed,Infosys,Approved
V0168,UK,H1B,2023-05-10,2023-08-07,44.0,Bachelors,Student,,Approved
V0169,UK,B2,2023-11-14,2024-01-08,,Bachelors,Employed,Google,Rejected
V0170,India,H1B,2023-11-05,,,PhD,Unemployed,Infosys,Pending
V0171,USA,F1,2023-12-09,,42.0,,Employed,Accenture,Pending
V0172,Canada,PR,2023-08-05,2023-09-09,43.0,Diploma,Student,Infosys,Rejected
V0173,USA,PR,2023-09-24,2023-11-13,,Diploma,Unemployed,Accenture,Rejected
V0174,India,PR,2023-06-08,,34.0,Bachelors,Unemployed,Wipro,Pending
V0175,Australia,PR,2023-02-24,2023-05-30,,,Employed,,Rejected
V0176,Canada,L1,2023-08-24,2023-11-20,27.0,Diploma,Student,Accenture,Rejected
V0177,India,L1,2023-12-23,,45.0,Bachelors,,Infosys,Pending
V0178,UK,B2,2023-12-29,,,Masters,Student,Google,Pending
V0179,USA,L1,2023-07-29,2023-11-22,,PhD,Student,TCS,Approved
V0180,Germany,H1B,2023-06-15,2023-07-03,,Bachelors,Unemployed,Infosys,Approved
V0181,UK,F1,2023-03-24,,,Masters,,,Pending
V0182,USA,F1,2023-11-17,2024-01-29,,Masters,Employed,TCS,Approved
V0183,India,L1,2023-09-16,2023-10-12,43.0,Bachelors,Student,Microsoft,Approved
V0184,Australia,PR,2023-04-14,2023-07-15,,Diploma,Student,TCS,Rejected
V0185,Canada,F1,2023-08-08,,39.0,Diploma,Unemployed,Google,Pending
V0186,Canada,H1B,2023-09-15,2023-12-09,,PhD,Student,TCS,Approved
V0187,Canada,H1B,2023-02-03,,,Diploma,Student,TCS,Pending
V0188,Australia,L1,2023-07-14,2023-09-21,,Diploma,Student,TCS,Approved
V0189,Canada,F1,2023-02-06,2023-06-04,,Masters,Unemployed,Google,Approved
V0190,Australia,H1B,2023-03-21,2023-07-05,44.0,Diploma,Student,Google,Approved
V0191,UK,PR,2023-09-26,2023-10-15,34.0,Masters,Unemployed,Microsoft,Rejected
V0192,Australia,L1,2023-07-14,,35.0,Bachelors,Employed,Infosys,Pending
V0193,Canada,F1,2023-03-15,,35.0,PhD,Employed,Google,Pending
V0194,India,F1,2023-09-06,2023-11-11,29.0,Masters,Employed,,Approved
V0195,UK,PR,2023-01-11,2023-04-09,40.0,PhD,Employed,Microsoft,Rejected
V0196,Australia,PR,2023-01-14,2023-05-09,29.0,Bachelors,Student,TCS,Approved
V0197,Germany,PR,2023-01-02,2023-02-03,37.0,PhD,Student,Accenture,Approved
V0198,UK,B2,2023-01-29,2023-04-27,,PhD,Employed,,Approved
V0199,Australia,PR,2023-02-13,2023-03-04,21.0,Diploma,Employed,Microsoft,Rejected
V0200,Germany,B2,2023-12-11,2024-03-15,,Bachelors,Student,Infosys,Approved
